17883|2024/07/31|10:44:50|CSD(DSP)|1A |SYSINFO |TL  Network building(0,1,0)                                                   
17912|2024/08/01|10:36:10|CSD(DSP)|1A |SYSINFO |Battery Fine                                                                  
17913|2024/08/01|10:36:11|CSD(DSP)|1A |SYSINFO |CN  Network building(1,1,0)                                                   
17914|2024/08/01|10:36:15|CSD(DSP)|1A |SYSINFO |Same event occurred 2 times                                                   
17915|2024/08/01|10:36:15|CSD(DSP)|1A |SYSINFO |TL  Network building(0,1,0)                                                   
17916|2024/08/01|10:36:16|CSD(DSP)|1A |SYSINFO |WordClock Lock                                                                
17917|2024/08/01|10:36:16|CSD(I/O)|L1 |SYSINFO |Power State : A-[On]                                                          
17918|2024/08/01|10:36:16|CSD(I/O)|L1 |SYSINFO |Power State : B-[On]                                                          
17919|2024/08/01|10:36:16|CSD(I/O)|L1 |SYSINFO |Cooling Fan State : [Fine]                                                    
17920|2024/08/01|10:36:24|RPio    |M1 |SYSINFO |Power State : A-[On]                                                          
17921|2024/08/01|10:36:24|RPio    |M1 |SYSINFO |Power State : B-[On]                                                          
17922|2024/08/01|10:36:24|RPio    |M1 |SYSINFO |Cooling Fan State : [Fine]                                                    
17923|2024/08/01|10:36:26|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/01 10:36:30 to 2024/08/01 10:36:26.                 
17924|2024/08/01|10:37:16|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/01 10:37:16 to 2024/08/01 10:37:16.                 
17925|2024/08/01|21:04:03|CSD(DSP)|1A |WARNING |WordClock UnLock                                                              
17926|2024/08/02|08:48:52|CSD(DSP)|1A |SYSINFO |CSD-R7 V6.11 Program Start  (Unit Mode: Default)                              
17927|2024/08/02|08:48:53|CSD(DSP)|1A |SYSINFO |Power State : A-[On], B-[On]                                                  
17928|2024/08/02|08:48:53|CSD(DSP)|1A |SYSINFO |Cooling Fan State : [Fine]                                                    
17929|2024/08/02|08:48:53|CSD(DSP)|1A |SYSINFO |Battery Fine                                                                  
17930|2024/08/02|08:48:54|CSD(DSP)|1A |SYSINFO |CN  Network building(1,1,0)                                                   
17931|2024/08/02|08:48:58|CSD(DSP)|1A |SYSINFO |Same event occurred 2 times                                                   
17932|2024/08/02|08:48:59|CSD(DSP)|1A |SYSINFO |TL  Network building(0,1,0)                                                   
17933|2024/08/02|08:49:00|CSD(DSP)|1A |SYSINFO |WordClock Lock                                                                
17934|2024/08/02|08:49:01|CSD(I/O)|L1 |SYSINFO |Power State : A-[On]                                                          
17935|2024/08/02|08:49:01|CSD(I/O)|L1 |SYSINFO |Power State : B-[On]                                                          
17936|2024/08/02|08:49:01|CSD(I/O)|L1 |SYSINFO |Cooling Fan State : [Fine]                                                    
17937|2024/08/02|08:49:07|RPio    |M1 |SYSINFO |Power State : A-[On]                                                          
17938|2024/08/02|08:49:07|RPio    |M1 |SYSINFO |Power State : B-[On]                                                          
17939|2024/08/02|08:49:07|RPio    |M1 |SYSINFO |Cooling Fan State : [Fine]                                                    
17940|2024/08/02|08:49:15|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/02 08:49:20 to 2024/08/02 08:49:15.                 
17941|2024/08/02|09:00:45|CSD(DSP)|1A |SYSINFO |CSD-R7 V6.11 Program Start  (Unit Mode: Default)                              
17942|2024/08/02|09:00:47|CSD(DSP)|1A |SYSINFO |Power State : A-[On], B-[On]                                                  
17943|2024/08/02|09:00:47|CSD(DSP)|1A |SYSINFO |Cooling Fan State : [Fine]                                                    
17944|2024/08/02|09:00:47|CSD(DSP)|1A |SYSINFO |Battery Fine                                                                  
17945|2024/08/02|09:00:48|CSD(DSP)|1A |SYSINFO |CN  Network building(1,1,0)                                                   
17946|2024/08/02|09:00:51|CSD(DSP)|1A |SYSINFO |Same event occurred 2 times                                                   
17947|2024/08/02|09:00:52|CSD(DSP)|1A |SYSINFO |TL  Network building(0,1,0)                                                   
17948|2024/08/02|09:00:52|CSD(DSP)|1A |SYSINFO |WordClock Lock                                                                
17949|2024/08/02|09:00:54|CSD(I/O)|L1 |SYSINFO |Power State : A-[On]                                                          
17950|2024/08/02|09:00:54|CSD(I/O)|L1 |SYSINFO |Power State : B-[On]                                                          
17951|2024/08/02|09:00:54|CSD(I/O)|L1 |SYSINFO |Cooling Fan State : [Fine]                                                    
17952|2024/08/02|09:01:01|RPio    |M1 |SYSINFO |Power State : A-[On]                                                          
17953|2024/08/02|09:01:01|RPio    |M1 |SYSINFO |Power State : B-[On]                                                          
17954|2024/08/02|09:01:01|RPio    |M1 |SYSINFO |Cooling Fan State : [Fine]                                                    
17955|2024/08/02|09:01:07|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/02 09:01:05 to 2024/08/02 09:01:07.                 
17956|2024/08/02|09:01:55|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/02 09:01:55 to 2024/08/02 09:01:55.                 
17957|2024/08/02|09:05:37|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/02 09:05:37 to 2024/08/02 09:05:37.                 
17958|2024/08/02|09:07:56|CSD(I/O)|L1 |CAUTION |Power State : A-[Off]                                                         
17959|2024/08/02|09:07:59|CSD(DSP)|1A |CAUTION |Power State : A-[Off], B-[On]                                                 
17960|2024/08/02|09:08:56|CSD(DSP)|1A |SYSINFO |CSD-R7 V6.11 Program Start  (Unit Mode: Default)                              
17961|2024/08/02|09:08:58|CSD(DSP)|1A |SYSINFO |Power State : A-[On], B-[On]                                                  
17962|2024/08/02|09:08:58|CSD(DSP)|1A |SYSINFO |Cooling Fan State : [Fine]                                                    
17963|2024/08/02|09:08:58|CSD(DSP)|1A |SYSINFO |Battery Fine                                                                  
17964|2024/08/02|09:08:59|CSD(DSP)|1A |SYSINFO |CN  Network building(1,1,0)                                                   
17965|2024/08/02|09:09:02|CSD(DSP)|1A |SYSINFO |Same event occurred 2 times                                                   
17966|2024/08/02|09:09:03|CSD(DSP)|1A |SYSINFO |TL  Network building(0,1,0)                                                   
17967|2024/08/02|09:09:03|CSD(DSP)|1A |SYSINFO |WordClock Lock                                                                
17968|2024/08/02|09:09:05|CSD(I/O)|L1 |SYSINFO |Power State : A-[On]                                                          
17969|2024/08/02|09:09:05|CSD(I/O)|L1 |SYSINFO |Power State : B-[On]                                                          
17970|2024/08/02|09:09:05|CSD(I/O)|L1 |SYSINFO |Cooling Fan State : [Fine]                                                    
17971|2024/08/02|09:09:11|RPio    |M1 |SYSINFO |Power State : A-[On]                                                          
17972|2024/08/02|09:09:11|RPio    |M1 |SYSINFO |Power State : B-[On]                                                          
17973|2024/08/02|09:09:11|RPio    |M1 |SYSINFO |Cooling Fan State : [Fine]                                                    
17974|2024/08/02|09:09:17|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/02 09:09:16 to 2024/08/02 09:09:17.                 
17975|2024/08/02|11:16:31|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/02 11:16:30 to 2024/08/02 11:16:31.                 
17976|2024/08/02|21:15:43|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/02 21:15:42 to 2024/08/02 21:15:43.                 
17977|2024/08/02|21:15:58|CSD(DSP)|1A |WARNING |WordClock UnLock                                                              
17978|2024/08/02|21:44:23|CSD(DSP)|1A |SYSINFO |CSD-R7 V6.11 Program Start  (Unit Mode: Default)                              
17979|2024/08/02|21:44:24|CSD(DSP)|1A |SYSINFO |Power State : A-[On], B-[On]                                                  
17980|2024/08/02|21:44:24|CSD(DSP)|1A |SYSINFO |Cooling Fan State : [Fine]                                                    
17981|2024/08/02|21:44:24|CSD(DSP)|1A |SYSINFO |Battery Fine                                                                  
17982|2024/08/02|21:44:25|CSD(DSP)|1A |SYSINFO |CN  Network building(1,1,0)                                                   
17983|2024/08/02|21:44:29|CSD(DSP)|1A |SYSINFO |Same event occurred 2 times                                                   
17984|2024/08/02|21:44:30|CSD(DSP)|1A |SYSINFO |TL  Network building(0,1,0)                                                   
17985|2024/08/02|21:44:30|CSD(DSP)|1A |SYSINFO |WordClock Lock                                                                
17986|2024/08/02|21:44:31|CSD(I/O)|L1 |SYSINFO |Power State : A-[On]                                                          
17987|2024/08/02|21:44:31|CSD(I/O)|L1 |SYSINFO |Power State : B-[On]                                                          
17988|2024/08/02|21:44:31|CSD(I/O)|L1 |SYSINFO |Cooling Fan State : [Fine]                                                    
17989|2024/08/02|21:44:37|RPio    |M1 |SYSINFO |Power State : A-[On]                                                          
17990|2024/08/02|21:44:37|RPio    |M1 |SYSINFO |Power State : B-[On]                                                          
17991|2024/08/02|21:44:37|RPio    |M1 |SYSINFO |Cooling Fan State : [Fine]                                                    
17992|2024/08/02|21:44:52|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/02 21:44:51 to 2024/08/02 21:44:52.                 
17993|2024/08/02|21:46:49|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/02 21:46:49 to 2024/08/02 21:46:49.                 
17994|2024/08/02|22:02:39|CSD(DSP)|1A |WARNING |Cooling Fan State : [Error]                                                   
17995|2024/08/02|22:03:33|CSD(DSP)|1A |SYSINFO |CSD-R7 V6.11 Program Start  (Unit Mode: Default)                              
17996|2024/08/02|22:03:34|CSD(DSP)|1A |SYSINFO |Power State : A-[On], B-[On]                                                  
17997|2024/08/02|22:03:34|CSD(DSP)|1A |SYSINFO |Cooling Fan State : [Fine]                                                    
17998|2024/08/02|22:03:34|CSD(DSP)|1A |SYSINFO |Battery Fine                                                                  
17999|2024/08/02|22:03:35|CSD(DSP)|1A |SYSINFO |CN  Network building(1,1,0)                                                   
18000|2024/08/02|22:03:39|CSD(DSP)|1A |SYSINFO |Same event occurred 2 times                                                   
18001|2024/08/02|22:03:40|CSD(DSP)|1A |SYSINFO |TL  Network building(0,1,0)                                                   
18002|2024/08/02|22:03:40|CSD(DSP)|1A |SYSINFO |WordClock Lock                                                                
18003|2024/08/02|22:03:41|CSD(I/O)|L1 |SYSINFO |Power State : A-[On]                                                          
18004|2024/08/02|22:03:41|CSD(I/O)|L1 |SYSINFO |Power State : B-[On]                                                          
18005|2024/08/02|22:03:41|CSD(I/O)|L1 |SYSINFO |Cooling Fan State : [Fine]                                                    
18006|2024/08/02|22:03:48|RPio    |M1 |SYSINFO |Power State : A-[On]                                                          
18007|2024/08/02|22:03:48|RPio    |M1 |SYSINFO |Power State : B-[On]                                                          
18008|2024/08/02|22:03:48|RPio    |M1 |SYSINFO |Cooling Fan State : [Fine]                                                    
18009|2024/08/02|22:03:59|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/02 22:03:59 to 2024/08/02 22:03:59.                 
18010|2024/08/02|22:35:38|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/02 22:35:38 to 2024/08/02 22:35:38.                 
18011|2024/08/03|13:45:17|CSD(DSP)|1A |SYSINFO |CSD-R7 V6.11 Program Start  (Unit Mode: Default)                              
18012|2024/08/03|13:45:19|CSD(DSP)|1A |SYSINFO |Power State : A-[On], B-[On]                                                  
18013|2024/08/03|13:45:19|CSD(DSP)|1A |SYSINFO |Cooling Fan State : [Fine]                                                    
18014|2024/08/03|13:45:19|CSD(DSP)|1A |SYSINFO |Battery Fine                                                                  
18015|2024/08/03|13:45:20|CSD(DSP)|1A |SYSINFO |CN  Network building(1,1,0)                                                   
18016|2024/08/03|13:45:24|CSD(DSP)|1A |SYSINFO |Same event occurred 2 times                                                   
18017|2024/08/03|13:45:24|CSD(DSP)|1A |SYSINFO |TL  Network building(0,1,0)                                                   
18018|2024/08/03|13:45:25|CSD(DSP)|1A |SYSINFO |WordClock Lock                                                                
18019|2024/08/03|13:45:26|CSD(I/O)|L1 |SYSINFO |Power State : A-[On]                                                          
18020|2024/08/03|13:45:26|CSD(I/O)|L1 |SYSINFO |Power State : B-[On]                                                          
18021|2024/08/03|13:45:26|CSD(I/O)|L1 |SYSINFO |Cooling Fan State : [Fine]                                                    
18022|2024/08/03|13:45:31|RPio    |M1 |SYSINFO |Power State : A-[On]                                                          
18023|2024/08/03|13:45:31|RPio    |M1 |SYSINFO |Power State : B-[On]                                                          
18024|2024/08/03|13:45:32|RPio    |M1 |SYSINFO |Cooling Fan State : [Fine]                                                    
18025|2024/08/03|13:45:34|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/03 13:45:37 to 2024/08/03 13:45:34.                 
18026|2024/08/03|14:10:21|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/03 14:10:20 to 2024/08/03 14:10:21.                 
18027|2024/08/03|20:36:00|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/03 20:35:59 to 2024/08/03 20:36:00.                 
18028|2024/08/04|07:26:19|CSD(DSP)|1A |WARNING |WordClock UnLock                                                              
18029|2024/08/04|07:26:19|CSD(DSP)|1A |CAUTION |Power State : A-[Off], B-[On]                                                 
18030|2024/08/04|07:27:16|CSD(DSP)|1A |SYSINFO |CSD-R7 V6.11 Program Start  (Unit Mode: Default)                              
18031|2024/08/04|07:27:18|CSD(DSP)|1A |SYSINFO |Power State : A-[On], B-[On]                                                  
18032|2024/08/04|07:27:18|CSD(DSP)|1A |SYSINFO |Cooling Fan State : [Fine]                                                    
18033|2024/08/04|07:27:18|CSD(DSP)|1A |SYSINFO |Battery Fine                                                                  
18034|2024/08/04|07:27:19|CSD(DSP)|1A |SYSINFO |CN  Network building(1,1,0)                                                   
18035|2024/08/04|07:27:22|CSD(DSP)|1A |SYSINFO |Same event occurred 2 times                                                   
18036|2024/08/04|07:27:23|CSD(DSP)|1A |SYSINFO |TL  Network building(0,1,0)                                                   
18037|2024/08/04|07:27:23|CSD(DSP)|1A |SYSINFO |WordClock Lock                                                                
18038|2024/08/04|07:27:25|CSD(I/O)|L1 |SYSINFO |Power State : A-[On]                                                          
18039|2024/08/04|07:27:25|CSD(I/O)|L1 |SYSINFO |Power State : B-[On]                                                          
18040|2024/08/04|07:27:25|CSD(I/O)|L1 |SYSINFO |Cooling Fan State : [Fine]                                                    
18041|2024/08/04|07:27:31|RPio    |M1 |SYSINFO |Power State : A-[On]                                                          
18042|2024/08/04|07:27:31|RPio    |M1 |SYSINFO |Power State : B-[On]                                                          
18043|2024/08/04|07:27:31|RPio    |M1 |SYSINFO |Cooling Fan State : [Fine]                                                    
18044|2024/08/04|07:27:37|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/04 07:27:38 to 2024/08/04 07:27:37.                 
18045|2024/08/04|07:47:52|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/04 07:47:51 to 2024/08/04 07:47:52.                 
18046|2024/08/05|15:19:39|CSD(DSP)|1A |SYSINFO |CSD-R7 V6.11 Program Start  (Unit Mode: Default)                              
18047|2024/08/05|15:19:40|CSD(DSP)|1A |SYSINFO |Power State : A-[On], B-[On]                                                  
18048|2024/08/05|15:19:40|CSD(DSP)|1A |SYSINFO |Cooling Fan State : [Fine]                                                    
18049|2024/08/05|15:19:40|CSD(DSP)|1A |SYSINFO |Battery Fine                                                                  
18050|2024/08/05|15:19:41|CSD(DSP)|1A |SYSINFO |CN  Network building(1,1,0)                                                   
18051|2024/08/05|15:19:45|CSD(DSP)|1A |SYSINFO |Same event occurred 2 times                                                   
18052|2024/08/05|15:19:46|CSD(DSP)|1A |SYSINFO |TL  Network building(0,1,0)                                                   
18053|2024/08/05|15:19:47|CSD(DSP)|1A |SYSINFO |WordClock Lock                                                                
18054|2024/08/05|15:19:47|CSD(I/O)|L1 |SYSINFO |Power State : A-[On]                                                          
18055|2024/08/05|15:19:47|CSD(I/O)|L1 |SYSINFO |Power State : B-[On]                                                          
18056|2024/08/05|15:19:47|CSD(I/O)|L1 |SYSINFO |Cooling Fan State : [Fine]                                                    
18057|2024/08/05|15:19:53|RPio    |M1 |SYSINFO |Power State : A-[On]                                                          
18058|2024/08/05|15:19:53|RPio    |M1 |SYSINFO |Power State : B-[On]                                                          
18059|2024/08/05|15:19:53|RPio    |M1 |SYSINFO |Cooling Fan State : [Fine]                                                    
18060|2024/08/05|15:19:58|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/05 15:20:06 to 2024/08/05 15:19:58.                 
18061|2024/08/05|15:24:04|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/05 15:24:03 to 2024/08/05 15:24:04.                 
18062|2024/08/05|15:37:56|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/05 15:37:54 to 2024/08/05 15:37:56.                 
18063|2024/08/05|15:40:24|CSD(DSP)|1A |SYSINFO |CSD-R7 V6.11 Program Start  (Unit Mode: Default)                              
18064|2024/08/05|15:40:26|CSD(DSP)|1A |SYSINFO |Power State : A-[On], B-[On]                                                  
18065|2024/08/05|15:40:26|CSD(DSP)|1A |SYSINFO |Cooling Fan State : [Fine]                                                    
18066|2024/08/05|15:40:26|CSD(DSP)|1A |SYSINFO |Battery Fine                                                                  
18067|2024/08/05|15:40:27|CSD(DSP)|1A |SYSINFO |CN  Network building(1,1,0)                                                   
18068|2024/08/05|15:40:30|CSD(DSP)|1A |SYSINFO |Same event occurred 2 times                                                   
18069|2024/08/05|15:40:31|CSD(DSP)|1A |SYSINFO |TL  Network building(0,1,0)                                                   
18070|2024/08/05|15:40:31|CSD(DSP)|1A |SYSINFO |WordClock Lock                                                                
18071|2024/08/05|15:40:33|CSD(I/O)|L1 |SYSINFO |Power State : A-[On]                                                          
18072|2024/08/05|15:40:33|CSD(I/O)|L1 |SYSINFO |Power State : B-[On]                                                          
18073|2024/08/05|15:40:33|CSD(I/O)|L1 |SYSINFO |Cooling Fan State : [Fine]                                                    
18074|2024/08/05|15:40:39|RPio    |M1 |SYSINFO |Power State : A-[On]                                                          
18075|2024/08/05|15:40:39|RPio    |M1 |SYSINFO |Power State : B-[On]                                                          
18076|2024/08/05|15:40:39|RPio    |M1 |SYSINFO |Cooling Fan State : [Fine]                                                    
18077|2024/08/05|15:40:43|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/05 15:40:44 to 2024/08/05 15:40:43.                 
18078|2024/08/05|16:03:28|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/05 16:03:27 to 2024/08/05 16:03:28.                 
18079|2024/08/05|16:21:48|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/05 16:21:48 to 2024/08/05 16:21:48.                 
18080|2024/08/06|08:49:09|CSD(DSP)|1A |SYSINFO |CSD-R7 V6.11 Program Start  (Unit Mode: Default)                              
18081|2024/08/06|08:49:10|CSD(DSP)|1A |SYSINFO |Power State : A-[On], B-[On]                                                  
18082|2024/08/06|08:49:10|CSD(DSP)|1A |SYSINFO |Cooling Fan State : [Fine]                                                    
18083|2024/08/06|08:49:10|CSD(DSP)|1A |SYSINFO |Battery Fine                                                                  
18084|2024/08/06|08:49:11|CSD(DSP)|1A |SYSINFO |CN  Network building(1,1,0)                                                   
18085|2024/08/06|08:49:15|CSD(DSP)|1A |SYSINFO |Same event occurred 2 times                                                   
18086|2024/08/06|08:49:15|CSD(DSP)|1A |SYSINFO |TL  Network building(0,1,0)                                                   
18087|2024/08/06|08:49:16|CSD(DSP)|1A |SYSINFO |WordClock Lock                                                                
18088|2024/08/06|08:49:18|CSD(I/O)|L1 |SYSINFO |Power State : A-[On]                                                          
18089|2024/08/06|08:49:18|CSD(I/O)|L1 |SYSINFO |Power State : B-[On]                                                          
18090|2024/08/06|08:49:18|CSD(I/O)|L1 |SYSINFO |Cooling Fan State : [Fine]                                                    
18091|2024/08/06|08:49:24|RPio    |M1 |SYSINFO |Power State : A-[On]                                                          
18092|2024/08/06|08:49:24|RPio    |M1 |SYSINFO |Power State : B-[On]                                                          
18093|2024/08/06|08:49:24|RPio    |M1 |SYSINFO |Cooling Fan State : [Fine]                                                    
18094|2024/08/06|08:49:25|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/06 08:49:29 to 2024/08/06 08:49:25.                 
18095|2024/08/06|11:32:23|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/06 11:32:23 to 2024/08/06 11:32:23.                 
18096|2024/08/06|11:42:23|RPio    |M1 |CAUTION |Power State : A-[Off]                                                         
18097|2024/08/06|11:42:57|RPio    |M1 |SYSINFO |Power State : A-[On]                                                          
18098|2024/08/06|11:42:57|RPio    |M1 |SYSINFO |Power State : B-[On]                                                          
18099|2024/08/06|11:42:57|RPio    |M1 |SYSINFO |Cooling Fan State : [Fine]                                                    
18100|2024/08/06|11:44:18|CSD(I/O)|L1 |CAUTION |Power State : B-[Off]                                                         
18101|2024/08/06|11:45:23|CSD(DSP)|1A |SYSINFO |CSD-R7 V6.60 Program Start  (Unit Mode: Default)                              
18102|2024/08/06|11:45:26|CSD(DSP)|1A |SYSINFO |Power State : A-[On], B-[On]                                                  
18103|2024/08/06|11:45:26|CSD(DSP)|1A |SYSINFO |Cooling Fan State : [Fine]                                                    
18104|2024/08/06|11:45:26|CSD(DSP)|1A |SYSINFO |Battery Fine                                                                  
18105|2024/08/06|11:45:27|CSD(DSP)|1A |SYSINFO |CN  Network building(1,1,0)                                                   
18106|2024/08/06|11:45:31|CSD(DSP)|1A |SYSINFO |Same event occurred 2 times                                                   
18107|2024/08/06|11:45:31|CSD(DSP)|1A |SYSINFO |TL  Network building(0,1,0)                                                   
18108|2024/08/06|11:45:32|CSD(DSP)|1A |SYSINFO |WordClock Lock                                                                
18109|2024/08/06|11:45:32|CSD(I/O)|L1 |SYSINFO |Power State : A-[On]                                                          
18110|2024/08/06|11:45:32|CSD(I/O)|L1 |SYSINFO |Power State : B-[On]                                                          
18111|2024/08/06|11:45:32|CSD(I/O)|L1 |SYSINFO |Cooling Fan State : [Fine]                                                    
18112|2024/08/06|11:45:40|RPio    |M1 |SYSINFO |Power State : A-[On]                                                          
18113|2024/08/06|11:45:40|RPio    |M1 |SYSINFO |Power State : B-[On]                                                          
18114|2024/08/06|11:45:40|RPio    |M1 |SYSINFO |Cooling Fan State : [Fine]                                                    
18115|2024/08/06|11:45:47|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/06 11:45:46 to 2024/08/06 11:45:47.                 
18116|2024/08/06|17:35:04|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/06 17:35:02 to 2024/08/06 17:35:04.                 
03373|2024/08/06|19:09:05|CSD(CS) |1  |SYSINFO |EFFECT parameters initialized                                                 
03374|2024/08/06|20:04:50|CSD(CS) |1  |SYSINFO |Scene 1.00 updated                                                            
03375|2024/08/06|20:05:08|CSD(CS) |1  |SYSINFO |Started saving file [X 081024 SAT.RIVAGEPM]                                   
03376|2024/08/06|20:05:13|CSD(CS) |1  |SYSINFO |Finished saving file                                                          
03377|2024/08/06|22:18:45|CSD(CS) |1  |CAUTION |Unassigned encoder                                                            
03378|2024/08/06|22:18:46|CSD(CS) |1  |CAUTION |Same event occurred 2 times                                                   
03379|2024/08/06|22:36:58|CSD(CS) |1  |SYSINFO |DYNAMICS parameters copied                                                    
03380|2024/08/06|22:37:01|CSD(CS) |1  |SYSINFO |DYNAMICS parameters pasted                                                    
03381|2024/08/06|22:37:23|CSD(CS) |1  |CAUTION |Unassigned encoder                                                            
03382|2024/08/06|22:37:24|CSD(CS) |1  |CAUTION |Same event occurred 4 times                                                   
03383|2024/08/06|23:00:21|CSD(CS) |1  |SYSINFO |Scene 1.00 updated                                                            
03384|2024/08/06|23:00:27|CSD(CS) |1  |SYSINFO |Started saving file [X 081024 SAT.RIVAGEPM]                                   
03385|2024/08/06|23:00:32|CSD(CS) |1  |SYSINFO |Finished saving file                                                          
03386|2024/08/06|23:01:01|CSD(CS) |1  |SYSINFO |CSD-R7 V6.60 Program End                                                      
03387|2024/08/07|10:05:08|CSD(CS) |1  |SYSINFO |CSD-R7 V6.60 Program Start  (Unit Mode: Default)                              
03388|2024/08/07|10:05:22|CSD(CS) |1  |SYSINFO |Power State CS A : [Fine]                                                     
03389|2024/08/07|10:05:22|CSD(CS) |1  |SYSINFO |Power State CS B : [Fine]                                                     
03390|2024/08/07|10:05:22|CSD(CS) |1  |SYSINFO |Cooling Fan State : [Fine]                                                    
18117|2024/08/07|10:05:25|CSD(DSP)|1A |SYSINFO |CSD-R7 V6.60 Program Start  (Unit Mode: Default)                              
18118|2024/08/07|10:05:26|CSD(DSP)|1A |SYSINFO |Power State : A-[On], B-[On]                                                  
18119|2024/08/07|10:05:26|CSD(DSP)|1A |SYSINFO |Cooling Fan State : [Fine]                                                    
18120|2024/08/07|10:05:26|CSD(DSP)|1A |SYSINFO |Battery Fine                                                                  
18121|2024/08/07|10:05:27|CSD(DSP)|1A |SYSINFO |CN  Network building(1,1,0)                                                   
